I[mA];U[V];t[s]
159,4;0,746;0
159,4;0,746;15
159,2;0,746;45
159;0,745;75
158,9;0,744;105
158,8;0,744;135
158,8;0,744;165
158,7;0,743;195
158,5;0,742;225
158,4;0,742;255
158,3;0,741;285
158,2;0,741;315
158,1;0,74;345
158;0,74;375
157,8;0,739;405
157,7;0,739;435
157,6;0,738;465
157,5;0,738;495
157,3;0,737;525
157,2;0,737;555
157,1;0,736;585
157,1;0,735;615
157;0,735;645
156,9;0,734;675
156,8;0,733;705
156,6;0,733;735
156,5;0,732;765
156,4;0,731;795
156,2;0,73;825
156;0,73;855
155,9;0,729;885
155,7;0,728;915
155,5;0,727;945
155,3;0,726;975
155;0,725;1005
154,9;0,724;1035
154,6;0,723;1065
154,4;0,721;1095